Date,Campaign Name,Volunteer ID,Donor Channel,Amount Raised (INR),Donation Status,Campaign Target (INR)
2026-03-01,Feed the Hungry,V005,LinkedIn,2433,Completed,300000
2026-04-11,Women Empowerment,V007,WhatsApp,3289,Pending,400000
2026-03-17,Project Education,V001,Instagram,2189,Failed,500000
2026-05-05,Feed the Hungry,V003,LinkedIn,1754,Completed,300000
2026-01-01,Feed the Hungry,V002,LinkedIn,412,Completed,300000
2026-03-15,Women Empowerment,V009,Instagram,2654,Failed,400000
2025-12-21,Project Education,V010,LinkedIn,1766,Failed,500000
2026-05-27,Project Education,V006,LinkedIn,4501,Pending,500000
2026-06-05,Feed the Hungry,V010,LinkedIn,4336,Completed,300000
2026-04-29,Winter Clothes Drive,V003,WhatsApp,3788,Completed,200000
2026-01-23,Feed the Hungry,V008,WhatsApp,2519,Completed,300000
2026-04-11,Feed the Hungry,V008,Instagram,4845,Completed,300000
2025-12-16,Feed the Hungry,V002,Instagram,606,Completed,300000
2026-05-18,Feed the Hungry,V006,WhatsApp,875,Completed,300000
2026-01-31,Women Empowerment,V007,LinkedIn,2858,Failed,400000
2026-02-05,Project Education,V002,WhatsApp,4571,Completed,500000
2026-02-02,Women Empowerment,V010,Cold Call,2769,Completed,400000
2025-12-17,Women Empowerment,V002,WhatsApp,3558,Completed,400000
2026-01-16,Women Empowerment,V010,WhatsApp,3791,Completed,400000
2026-06-05,Feed the Hungry,V001,WhatsApp,1624,Failed,300000
2026-02-17,Winter Clothes Drive,V008,LinkedIn,4048,Pending,200000
2026-04-23,Project Education,V001,Instagram,2179,Completed,500000
2026-04-16,Winter Clothes Drive,V009,WhatsApp,2453,Completed,200000
2026-03-21,Women Empowerment,V006,Instagram,3379,Pending,400000
2026-01-29,Women Empowerment,V007,WhatsApp,638,Pending,400000
2026-04-30,Winter Clothes Drive,V010,Instagram,2062,Completed,200000
2026-02-23,Winter Clothes Drive,V007,WhatsApp,1597,Completed,200000
2026-03-26,Winter Clothes Drive,V010,WhatsApp,344,Completed,200000
2026-02-23,Women Empowerment,V003,Instagram,2035,Completed,400000
2026-01-31,Women Empowerment,V002,Cold Call,3167,Pending,400000
2026-03-08,Project Education,V009,Instagram,1740,Completed,500000
2026-04-18,Project Education,V008,LinkedIn,1186,Completed,500000
2026-02-08,Women Empowerment,V010,Cold Call,2114,Completed,400000
2026-04-07,Winter Clothes Drive,V007,WhatsApp,4505,Failed,200000
2026-05-21,Winter Clothes Drive,V009,Cold Call,4845,Completed,200000
2026-02-10,Project Education,V004,LinkedIn,4593,Completed,500000
2026-02-21,Women Empowerment,V004,Instagram,4820,Pending,400000
2026-04-27,Project Education,V001,Instagram,1057,Completed,500000
2026-04-18,Project Education,V008,Instagram,2564,Completed,500000
